random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate
,,,,,v,1,3.7791,,0,10,10,111,1,cmp_shelves_009_teddybear_002,S8_shelves_009_teddybear_002.jpg,0,blank.png,blank.png,teddy bear107.png,teddy bear123.png,teddy bear226.png,teddy bear241.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,3.8131,,0,11,11,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,0,2.6383,,0,12,12,39,1,cmp_mountain_017_sheep_005,S4_mountain_017_sheep_005.jpg,0,blank.png,blank.png,sheep1498.png,sheep1552.png,sheep1422.png,sheep1597.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,1.2474,,0,13,13,15,1,cmp_mountain_019_sheep_007,S1_mountain_019_sheep_007.jpg,0,blank.png,blank.png,sheep46.png,sheep53.png,sheep128.png,sheep20.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,5.7515,,0,14,14,73,1,cmp_jungle_009_bird_009,S4_jungle_009_bird_009.jpg,0,blank.png,blank.png,bird435.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.5934,,0,15,15,25,1,cmp_mountain_004_sheep_001,S2_mountain_004_sheep_001.jpg,0,blank.png,blank.png,sheep662.png,sheep796.png,sheep858.png,sheep875.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.0758,,0,16,16,93,1,cmp_building_025_person_011,S4_building_025_person_011.jpg,0,blank.png,blank.png,person1266.png,person1352.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,2.1511,,0,17,17,13,1,cmp_shelves_046_toys_005,S1_shelves_046_toys_005.jpg,0,blank.png,blank.png,bus321.png,airplane351.png,airplane381.png,bus323.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,m,1,2.6838,,0,18,18,3,1,cmp_building_044_dog_012,S1_building_044_dog_012.jpg,1,dog1544.png,dog1544.png,dog1543.png,dog1592.png,dog1560.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,v,1,3.3626,,0,19,19,91,1,cmp_building_017_cat_004,S4_building_017_cat_004.jpg,0,blank.png,blank.png,cat800.png,cat830.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,0001,27,2023-06-17_17h47.46.411,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
